Name,Bio,Strength,Power,Intelligence,Emotional Strength
Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,7,5,6,6
Sirius Black,Best friend of James Potter and godfather of Harry.,5,6,7,8
Lavender Brown,Gryffindor student who dated Ron.,4,3,5,5
Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,5,5,8,5
Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,7,7,4,2
Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,6,6,2,2
Bartemius "Barty" Crouch Sr.,Head of the department of International Magical Cooperation.,3,8,7,6
Bartemius "Barty" Crouch Jr.,Death Eater who impersonated Alastor Moody.,5,6,5,4
Fleur Delacour,Participated in the Triwizard tournament.,3,6,7,6
Cedric Diggory,Hufflepuff who participated in the Triwizard tournament.,6,7,9,8
Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,6,8,7,9
Albus Dumbledore,Headmaster of Hogwarts.,5,9,8,9
Argus Filch,Squib caretake of Hogwarts.,3,6,2,5
Seamus Finnigan,Harry's friend and member of Dumbledore's army.,5,5,4,5
Cornelius Fudge,Minister of Magic that was forced to resign.,6,5,8,4
Goyle Sr.,Death Eater and father of Gregory Goyle.,7,7,5,2
Gregory Goyle,Slytherin student and best friend of Crabbe.,7,6,4,3
Hermione Granger,One of Harry's best friend.,2,7,10,9
Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwarts.,6,6,7,8
Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,5,7,7,6
Viktor Krum,Participant in the Triwizard tournament.,7,8,6,5
Bellatrix Lestrange,Death Eater.,4,9,6,3
Alice Longbottom,Mother of Neville.,3,6,8,7
Frank Longbottom,Father of Neville.,5,5,6,7
Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,5,5,9,8
Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,4,4,7,6
Xenophilius Lovegood,Father of Luna and editor of The Quibbler.,4,5,5,6
Remus Lupin,Friend of James Potter and werewolf.,5,8,8,9
Draco Malfoy,Slytherin student who had many arguments with Harry.,6,9,7,7
Lucius Malfoy,Father of Draco and influential Death-Eater.,7,8,6,4
Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,5,8,7,6
Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,3,7,8,6
Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,3,6,8,10
Alastor "Mad-Eye" Moody,Retired auror and member of the order of the Phoenix.,4,8,7,7
Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,6,4,2,4
Harry Potter,The boy who lived. Main character of the series.,6,7,7,8
James Potter,Father of Harry.,5,5,6,7
Lily Potter,Mother of Harry.,4,5,9,8
Quirinus Quirrell,Defence against the Dark Arts professor.,6,3,6,2
Lord Voldemort,He who must not be named.,6,9,8,2
Rita Skeeter,Reporter at the Daily Prophet.,5,5,6,4
Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,5,7,8,10
Nymphadora Tonks,Member of the Order of the Phoenix.,4,6,7,8
Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,4,6,7,2
Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,5,5,7,8
Bill Weasley,Oldest son of Arthur and Molly.,6,7,5,7
Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,7,6,6,7
Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,6,6,7,6
George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,6,6,7,6
Ginny Weasley,Daughter of Molly and Arthur.,5,5,7,6
Molly Weasley,Wife of Arthur and mother of the Weasleys.,4,5,8,9
Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,5,4,8,4
Ron Weasley,Harry's best friend.,6,6,6,7
Rachel Richards, Hopeless Harry Potter Fan and Co-Creator of this Card Game,9,10,0,5
Wafiakmal Mitah, Hopelessly Hopeless Harry Potter Fanboy Extraordinaire and Co-Creator of this Card Game,10,9,0,5
Eric Rios, The One Guy Who Wanted this Card Game to be Anything but Harry Potter. Forced Co-Creator.,0,0,10,10
